
Standard,Family,Product_Group,Voltage_kV,Current_A,Base_Code,Test_Point,Cable_Range_Code,Cable_OD_Min_mm,Cable_OD_Max_mm,Conductor_Code,Concentric_AWG,Concentric_mm2,Compact_AWG,Compact_mm2,Connector_Type,Fuse_Manufacturer,Final_Product_Code
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,08,3/0,,4/0,95,Copper,,15-LE200TA08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,08,3/0,,4/0,95,Bi-metal,,15-LE200TA08B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,09,4/0,95,250,120,Copper,,15-LE200TA09C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,09,4/0,95,250,120,Bi-metal,,15-LE200TA09B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,10,250,120,300,,Copper,,15-LE200TA10C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,10,250,120,300,,Bi-metal,,15-LE200TA10B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,01,#6,,#4,,Copper,,15-LE200TB01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,01,#6,,#4,,Bi-metal,,15-LE200TB01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,02,#4,,#3,25,Copper,,15-LE200TB02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,02,#4,,#3,25,Bi-metal,,15-LE200TB02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,03,#3,25,#2,35,Copper,,15-LE200TB03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,03,#3,25,#2,35,Bi-metal,,15-LE200TB03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,04,#2,35,#1,,Copper,,15-LE200TB04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,04,#2,35,#1,,Bi-metal,,15-LE200TB04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,05,#1,,1/0,50,Copper,,15-LE200TB05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,05,#1,,1/0,50,Bi-metal,,15-LE200TB05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,06,1/0,50,2/0,70,Copper,,15-LE200TB06C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,06,1/0,50,2/0,70,Bi-metal,,15-LE200TB06B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,07,2/0,70,3/0,,Copper,,15-LE200TB07C
